date,hoi,median_price
2012-01-01,78.8,161
2012-04-01,74.6,183
2012-07-01,75.1,187
2012-10-01,75.6,186
2013-01-01,73.7,182
2013-04-01,69.3,200
2013-07-01,64.3,210
2013-10-01,65.7,203
2014-01-01,66.4,193
2014-04-01,63.7,211
2014-07-01,63,220
2014-10-01,64.4,214
2015-01-01,67.5,210
2015-04-01,63.6,230
2015-07-01,63,231
2015-10-01,63.8,226
2016-01-01,66.1,223
2016-04-01,63.1,240
2016-07-01,62.8,247
2016-10-01,59.7,250
2017-01-01,60.9,245
2017-04-01,59.6,256
2017-07-01,59.1,260
2017-10-01,60.1,255
2018-01-01,61.6,252
2018-04-01,57.4,265
2018-07-01,56.9,268
2018-10-01,56.9,263
2019-01-01,62.6,260
2019-04-01,60.9,280
2019-07-01,63.6,280
2019-10-01,63.2,279
2020-01-01,66,280
2020-04-01,64.9,300
2020-07-01,63.3,313
2020-10-01,63.3,320
2021-01-01,63.1,320
2021-04-01,56.6,350
2021-07-01,56.6,355
2021-10-01,54.2,360
2022-01-01,56.9,365
2022-04-01,42.8,390
2022-07-01,42.2,380
2022-10-01,38.1,370
2023-01-01,45.6,365
2023-04-01,40.5,388
