GEOID,GEONAME,date,VALUE1,POPULATION,MORT_ADJ
AK,Alaska,2014,14,737075,0.018993996540379202
AK,Alaska,2015,16,738430,0.021667592053410616
AK,Alaska,2016,17,742575,0.022893310440022893
AK,Alaska,2017,14,740983,0.018893820775915237
AK,Alaska,2018,12,736624,0.016290536284454486
AK,Alaska,2019,15,733603,0.020447026525245944
AK,Alaska,2020,23,732923,0.03138119556897519
AK,Alaska,2021,26,734182,0.03541356230471464
AK,Alaska,2022,14,733583,0.019084411716192986
AL,Alabama,2014,71,4843737,0.014658103856588415
AL,Alabama,2015,86,4854803,0.017714416012349007
AL,Alabama,2016,96,4866824,0.019725389699730256
AL,Alabama,2017,88,4877989,0.018040221082909372
AL,Alabama,2018,84,4891628,0.017172197068133555
AL,Alabama,2019,104,4907965,0.02119004516128375
AL,Alabama,2020,161,5031362,0.03199928766803104
AL,Alabama,2021,170,5049846,0.03366439293396274
AL,Alabama,2022,100,5074296,0.019707167260246544
AR,Arkansas,2014,44,2968759,0.014821007700524023
AR,Arkansas,2015,48,2979732,0.016108831264019716
AR,Arkansas,2016,53,2991815,0.01771499908918165
AR,Arkansas,2017,52,3003855,0.017311088584502247
AR,Arkansas,2018,49,3012161,0.016267390753681492
AR,Arkansas,2019,56,3020985,0.018537000349223846
AR,Arkansas,2020,84,3014195,0.027868137263846567
AR,Arkansas,2021,93,3028122,0.030712104730258556
AR,Arkansas,2022,54,3045637,0.017730281054505182
AZ,Arizona,2014,152,6732873,0.022575800850543296
AZ,Arizona,2015,193,6832810,0.028246065674297983
AZ,Arizona,2016,223,6944767,0.03211050853109975
AZ,Arizona,2017,197,7048088,0.027950842838511663
AZ,Arizona,2018,184,7164228,0.02568315804577967
AZ,Arizona,2019,258,7291843,0.03538200150496932
AZ,Arizona,2020,436,7179943,0.06072471605972359
AZ,Arizona,2021,441,7264877,0.060703023602464296
AZ,Arizona,2022,184,7359197,0.025002727879142247
CA,California,2014,739,38586706,0.019151673635992666
CA,California,2015,976,38904296,0.025087203737088573
CA,California,2016,1127,39149186,0.028787316293115265
CA,California,2017,827,39337785,0.02102304438340898
CA,California,2018,663,39437463,0.01681142623195615
CA,California,2019,991,39437610,0.025128297581927504
CA,California,2020,1839,39501653,0.04655501378638509
CA,California,2021,1790,39142991,0.04572977062483549
CA,California,2022,551,39029342,0.014117583637459222
CO,Colorado,2014,163,5352637,0.030452279876255386
CO,Colorado,2015,217,5454328,0.03978491942545443
CO,Colorado,2016,259,5543844,0.046718486306613245
CO,Colorado,2017,206,5617421,0.036671632765285
CO,Colorado,2018,176,5697155,0.030892612189768402
CO,Colorado,2019,254,5758486,0.044108816102010145
CO,Colorado,2020,421,5784865,0.07277611491365832
CO,Colorado,2021,377,5811297,0.06487364180491893
CO,Colorado,2022,150,5839926,0.02568525697072189
CT,Connecticut,2014,56,3595697,0.015574171016078385
CT,Connecticut,2015,66,3588561,0.018391773192652987
CT,Connecticut,2016,70,3579830,0.019554001167653212
CT,Connecticut,2017,62,3575324,0.017341085730971515
CT,Connecticut,2018,53,3574561,0.014826995538752871
CT,Connecticut,2019,67,3566022,0.018788442696091052
CT,Connecticut,2020,119,3597362,0.033079795694734085
CT,Connecticut,2021,140,3623355,0.0386382234144874
CT,Connecticut,2022,70,3626205,0.019303927935679314
DC,District of Columbia,2014,14,663603,0.021096951038497416
DC,District of Columbia,2015,18,677014,0.026587337928019213
DC,District of Columbia,2016,17,687576,0.024724539541810652
DC,District of Columbia,2017,14,697079,0.020083806856898572
DC,District of Columbia,2018,13,704147,0.018462054088137846
DC,District of Columbia,2019,17,708253,0.024002722191081436
DC,District of Columbia,2020,29,670868,0.04322757979214987
DC,District of Columbia,2021,30,668791,0.04485706296884976
DC,District of Columbia,2022,13,671803,0.019350910906917655
DE,Delaware,2014,17,933131,0.018218235167409506
DE,Delaware,2015,21,942065,0.022291455472817693
DE,Delaware,2016,27,949989,0.028421381721262035
DE,Delaware,2017,24,957942,0.02505370888842957
DE,Delaware,2018,21,966985,0.021716986302786498
DE,Delaware,2019,26,976668,0.026621124066724823
DE,Delaware,2020,44,992114,0.04434974206593194
DE,Delaware,2021,51,1004807,0.050756015831896074
DE,Delaware,2022,24,1018396,0.02356647119588058
FL,Florida,2014,324,19853880,0.01631922828182703
FL,Florida,2015,398,20219111,0.019684347150574523
FL,Florida,2016,468,20627237,0.022688448288057193
FL,Florida,2017,452,20977089,0.021547317647362795
FL,Florida,2018,435,21254926,0.02046584401187753
FL,Florida,2019,531,21492056,0.024706803295133792
FL,Florida,2020,795,21589602,0.03682328187430227
FL,Florida,2021,925,21828069,0.042376629833816265
FL,Florida,2022,522,22244823,0.023466134120284976
GA,Georgia,2014,166,10071204,0.016482637031282457
GA,Georgia,2015,217,10183353,0.021309287815123368
GA,Georgia,2016,253,10308442,0.024542991074693925
GA,Georgia,2017,238,10417031,0.02284720089630145
GA,Georgia,2018,224,10519389,0.021294012418401866
GA,Georgia,2019,272,10628020,0.025592725644099278
GA,Georgia,2020,408,10729828,0.038024840659141974
GA,Georgia,2021,457,10788029,0.042361769698616866
GA,Georgia,2022,248,10912876,0.022725448360267266
HI,Hawaii,2014,20,1415335,0.01413093013314869
HI,Hawaii,2015,27,1422999,0.018974011928328833
HI,Hawaii,2016,31,1428885,0.021695237895281987
HI,Hawaii,2017,24,1425763,0.01683309217590862
HI,Hawaii,2018,20,1423102,0.014053806403195273
HI,Hawaii,2019,27,1415615,0.01907298241400381
HI,Hawaii,2020,48,1451043,0.03307965373872449
HI,Hawaii,2021,50,1447154,0.0345505730558047
HI,Hawaii,2022,18,1440196,0.012498298842657527
IA,Iowa,2014,62,3110643,0.019931570418077547
IA,Iowa,2015,74,3122541,0.02369864799213205
IA,Iowa,2016,84,3133210,0.026809565908445333
IA,Iowa,2017,70,3143734,0.02226651491506597
IA,Iowa,2018,64,3149900,0.020318105336677356
IA,Iowa,2019,76,3159596,0.024053708132305524
IA,Iowa,2020,122,3190571,0.038237669683577016
IA,Iowa,2021,120,3197689,0.03752710160368941
IA,Iowa,2022,57,3200517,0.017809622632843383
ID,Idaho,2014,37,1632248,0.022668123961554862
ID,Idaho,2015,49,1652495,0.02965213207906832
ID,Idaho,2016,56,1684036,0.03325344588833018
ID,Idaho,2017,52,1719745,0.030237040956653458
ID,Idaho,2018,47,1752074,0.02682535098403378
ID,Idaho,2019,63,1789060,0.03521402300649503
ID,Idaho,2020,104,1849202,0.056240475621376136
ID,Idaho,2021,108,1904314,0.05671333614099355
ID,Idaho,2022,45,1939033,0.023207444122921063
IL,Illinois,2014,223,12885092,0.017306822489121538
IL,Illinois,2015,274,12859585,0.021307063952685876
IL,Illinois,2016,303,12821709,0.023631795106252997
IL,Illinois,2017,250,12779893,0.019561979118291523
IL,Illinois,2018,220,12724685,0.017289229556566626
IL,Illinois,2019,274,12667017,0.021630980679981718
IL,Illinois,2020,479,12786580,0.03746115067516099
IL,Illinois,2021,486,12686469,0.03830853171201538
IL,Illinois,2022,216,12582032,0.01716733831228533
IN,Indiana,2014,118,6596019,0.017889578547302547
IN,Indiana,2015,142,6611442,0.021477916617887595
IN,Indiana,2016,155,6637898,0.02335076555861509
IN,Indiana,2017,145,6662068,0.02176501350631666
IN,Indiana,2018,134,6698481,0.020004535356598012
IN,Indiana,2019,165,6731010,0.024513408834632544
IN,Indiana,2020,272,6788799,0.04006599694585154
IN,Indiana,2021,275,6813532,0.04036085836244697
IN,Indiana,2022,146,6833037,0.02136678024720194
KS,Kansas,2014,52,2901861,0.01791953508455436
KS,Kansas,2015,61,2910717,0.020957035671966735
KS,Kansas,2016,65,2912977,0.022313942059961338
KS,Kansas,2017,56,2910892,0.0192380892180129
KS,Kansas,2018,50,2912748,0.01716592029245235
KS,Kansas,2019,61,2912635,0.020943235249181583
KS,Kansas,2020,101,2937919,0.03437807509328882
KS,Kansas,2021,97,2937922,0.03301653345459818
KS,Kansas,2022,50,2937150,0.017023304904414144
KY,Kentucky,2014,71,4416992,0.0160742876600184
KY,Kentucky,2015,93,4429126,0.02099737058733484
KY,Kentucky,2016,99,4440306,0.022295760697573545
KY,Kentucky,2017,90,4455590,0.020199345092344674
KY,Kentucky,2018,82,4464273,0.018368052312212984
KY,Kentucky,2019,97,4472345,0.021688845560885843
KY,Kentucky,2020,151,4507445,0.033500131449191284
KY,Kentucky,2021,155,4506589,0.03439408386253994
KY,Kentucky,2022,84,4512310,0.0186157422694806
LA,Louisiana,2014,71,4645938,0.015282166916562381
LA,Louisiana,2015,78,4666998,0.016713099084250733
LA,Louisiana,2016,83,4681346,0.01772994348206691
LA,Louisiana,2017,77,4673673,0.01647526474359674
LA,Louisiana,2018,67,4664450,0.01436396574086977
LA,Louisiana,2019,81,4658285,0.01738837361818781
LA,Louisiana,2020,124,4651664,0.026657127427948363
LA,Louisiana,2021,126,4627098,0.027230890722435532
LA,Louisiana,2022,73,4590241,0.01590330442344966
MA,Massachusetts,2014,126,6764864,0.01862565160216081
MA,Massachusetts,2015,159,6797484,0.02339100761399365
MA,Massachusetts,2016,187,6827280,0.027390117294149353
MA,Massachusetts,2017,143,6863560,0.02083466888903135
MA,Massachusetts,2018,122,6885720,0.017717827620060068
MA,Massachusetts,2019,165,6894883,0.02393079041370245
MA,Massachusetts,2020,310,6995729,0.044312751394457964
MA,Massachusetts,2021,303,6989690,0.04334956199774239
MA,Massachusetts,2022,127,6981974,0.01818969821428725
MD,Maryland,2014,113,5960064,0.018959527951377703
MD,Maryland,2015,152,5988528,0.025381863456261707
MD,Maryland,2016,166,6007014,0.027634362097374836
MD,Maryland,2017,136,6028186,0.022560684093025665
MD,Maryland,2018,118,6042153,0.01952946242837611
MD,Maryland,2019,161,6054954,0.02658979737913781
MD,Maryland,2020,287,6173205,0.046491247253250136
MD,Maryland,2021,315,6174610,0.051015367772215575
MD,Maryland,2022,133,6164660,0.021574588055140106
ME,Maine,2014,22,1331217,0.016526231260568337
ME,Maine,2015,27,1329098,0.020314529101691525
ME,Maine,2016,32,1332348,0.024017749116597164
ME,Maine,2017,29,1335743,0.021710763223164935
ME,Maine,2018,25,1340123,0.018655004055597883
ME,Maine,2019,30,1345770,0.022292070710448295
ME,Maine,2020,56,1363557,0.041069056885777416
ME,Maine,2021,55,1377238,0.03993500034126273
ME,Maine,2022,29,1385340,0.020933489251736034
MI,Michigan,2014,185,9932033,0.0186265994081977
MI,Michigan,2015,221,9934483,0.022245747463657647
MI,Michigan,2016,248,9954117,0.02491431434852534
MI,Michigan,2017,220,9976752,0.022051264780361384
MI,Michigan,2018,197,9987286,0.019725078464760095
MI,Michigan,2019,246,9984795,0.024637461259845596
MI,Michigan,2020,407,10069577,0.040418778266455485
MI,Michigan,2021,419,10037504,0.041743445382437704
MI,Michigan,2022,200,10034113,0.019932005948109215
MN,Minnesota,2014,118,5452665,0.021640793997063822
MN,Minnesota,2015,151,5484002,0.027534636201810285
MN,Minnesota,2016,167,5525360,0.03022427497936786
MN,Minnesota,2017,139,5569283,0.024958329465390786
MN,Minnesota,2018,124,5608762,0.022108265602997595
MN,Minnesota,2019,157,5640053,0.027836617847385475
MN,Minnesota,2020,276,5709852,0.04833750507018396
MN,Minnesota,2021,267,5711471,0.046748026909354874
MN,Minnesota,2022,110,5717184,0.01924024134958749
MO,Missouri,2014,106,6059130,0.01749426072720011
MO,Missouri,2015,134,6075411,0.02205612097683597
MO,Missouri,2016,153,6091384,0.025117444574172306
MO,Missouri,2017,131,6111382,0.021435413462945044
MO,Missouri,2018,117,6125986,0.019098966272531475
MO,Missouri,2019,147,6140475,0.023939516079782102
MO,Missouri,2020,242,6153998,0.039324029679567656
MO,Missouri,2021,240,6169823,0.038899008934291955
MO,Missouri,2022,128,6177957,0.02071882339096889
MS,Mississippi,2014,33,2991892,0.011029809899555197
MS,Mississippi,2015,36,2990231,0.01203920366018545
MS,Mississippi,2016,40,2990595,0.013375264788445109
MS,Mississippi,2017,40,2990674,0.013374911474804676
MS,Mississippi,2018,41,2982879,0.013745110009490831
MS,Mississippi,2019,44,2978227,0.014773890640303778
MS,Mississippi,2020,64,2958141,0.02163520941023433
MS,Mississippi,2021,71,2949586,0.024071174734352548
MS,Mississippi,2022,47,2940057,0.015986084623529406
MT,Montana,2014,20,1022657,0.019556899331838535
MT,Montana,2015,24,1031495,0.023267199550167476
MT,Montana,2016,27,1042137,0.025908301883533547
MT,Montana,2017,24,1053862,0.022773380195889027
MT,Montana,2018,21,1061818,0.01977740064681518
MT,Montana,2019,26,1070123,0.024296272484564858
MT,Montana,2020,46,1087075,0.04231538762274912
MT,Montana,2021,47,1106227,0.04248675904674176
MT,Montana,2022,21,1122867,0.018702125897368076
NC,North Carolina,2014,172,9937295,0.017308533157161986
NC,North Carolina,2015,222,10037218,0.02211768240960792
NC,North Carolina,2016,262,10161802,0.025782828675465237
NC,North Carolina,2017,236,10275758,0.0229666755484121
NC,North Carolina,2018,220,10391358,0.021171438805207173
NC,North Carolina,2019,277,10501384,0.02637747557845709
NC,North Carolina,2020,440,10449445,0.04210749948920732
NC,North Carolina,2021,494,10565885,0.046754247277913774
NC,North Carolina,2022,260,10698973,0.02430139790052746
ND,North Dakota,2014,16,738736,0.021658616880725998
ND,North Dakota,2015,18,755537,0.023824114503988553
ND,North Dakota,2016,19,756114,0.02512848591614492
ND,North Dakota,2017,14,756755,0.01850004294652827
ND,North Dakota,2018,13,760062,0.01710386784236023
ND,North Dakota,2019,16,763724,0.020949976693150928
ND,North Dakota,2020,28,779518,0.03591963238821939
ND,North Dakota,2021,26,777934,0.033421858409582304
ND,North Dakota,2022,13,779261,0.01668247223972456
NE,Nebraska,2014,36,1879955,0.01914939453337979
NE,Nebraska,2015,46,1892059,0.024312138257845024
NE,Nebraska,2016,49,1906483,0.025701776517283396
NE,Nebraska,2017,41,1916998,0.02138760708148887
NE,Nebraska,2018,37,1925512,0.01921566835210583
NE,Nebraska,2019,46,1932571,0.023802489015927488
NE,Nebraska,2020,78,1962642,0.039742347305316
NE,Nebraska,2021,74,1963554,0.03768676593564527
NE,Nebraska,2022,34,1967923,0.017277098748274197
NH,New Hampshire,2014,24,1334257,0.017987539132266122
NH,New Hampshire,2015,32,1337480,0.023925591410712682
NH,New Hampshire,2016,37,1343694,0.02753603126902405
NH,New Hampshire,2017,32,1350395,0.023696770204273566
NH,New Hampshire,2018,30,1355064,0.02213917571420981
NH,New Hampshire,2019,37,1360783,0.02719022797903854
NH,New Hampshire,2020,63,1378587,0.045698965680076774
NH,New Hampshire,2021,64,1387505,0.04612595990645079
NH,New Hampshire,2022,30,1395231,0.021501815828346704
NJ,New Jersey,2014,125,8867277,0.014096774015292406
