myd,fixed_30,fixed_15,date
Apr-19-05,4.08,3.56,2019-04-05
Apr-19-12,4.12,3.6,2019-04-12
Apr-19-19,4.17,3.62,2019-04-19
Apr-19-26,4.2,3.64,2019-04-26
May-19-03,4.14,3.6,2019-05-03
May-19-10,4.1,3.57,2019-05-10
May-19-17,4.07,3.53,2019-05-17
May-19-24,4.06,3.51,2019-05-24
May-19-31,3.99,3.46,2019-05-31
Jun-19-07,3.82,3.28,2019-06-07
Jun-19-14,3.82,3.26,2019-06-14
Jun-19-21,3.84,3.25,2019-06-21
Jun-19-28,3.73,3.16,2019-06-28
Jul-19-05,3.75,3.18,2019-07-05
Jul-19-12,3.75,3.22,2019-07-12
Jul-19-19,3.81,3.23,2019-07-19
Jul-19-26,3.75,3.18,2019-07-26
Aug-19-02,3.75,3.2,2019-08-02
Aug-19-09,3.6,3.05,2019-08-09
Aug-19-16,3.6,3.07,2019-08-16
Aug-19-23,3.55,3.03,2019-08-23
Aug-19-30,3.58,3.06,2019-08-30
Sep-19-06,3.49,3,2019-09-06
Sep-19-13,3.56,3.09,2019-09-13
Sep-19-20,3.73,3.21,2019-09-20
Sep-19-27,3.64,3.16,2019-09-27
Sep-19-04,3.65,3.14,2019-09-04
Sep-19-11,3.57,3.05,2019-09-11
Sep-19-18,3.69,3.15,2019-09-18
Sep-19-25,3.75,3.18,2019-09-25
Oct-19-01,3.78,3.19,2019-10-01
Oct-19-08,3.69,3.13,2019-10-08
Oct-19-15,3.75,3.2,2019-10-15
Oct-19-22,3.66,3.15,2019-10-22
Oct-19-29,3.68,3.15,2019-10-29
Dec-19-06,3.68,3.14,2019-12-06
Dec-19-13,3.73,3.19,2019-12-13
Dec-19-20,3.73,3.19,2019-12-20
Dec-19-27,3.74,3.19,2019-12-27
Jan-20-03,3.72,3.16,2020-01-03
Jan-20-10,3.64,3.07,2020-01-10
Jan-20-17,3.65,3.09,2020-01-17
Jan-20-24,3.6,3.04,2020-01-24
Jan-20-31,3.51,3,2020-01-31
Feb-20-07,3.45,2.97,2020-02-07
